Library, Design Unit, compile Time, Peak Mem Usage
smartfusion2, Entity: VCC Architecture: syn_black_box, 0h:00m:00s,     97 MB
smartfusion2, Entity: GND Architecture: syn_black_box, 0h:00m:00s,     97 MB
smartfusion2, Entity: CLKINT Architecture: syn_black_box, 0h:00m:00s,     97 MB
smartfusion2, Entity: CCC Architecture: syn_black_box, 0h:00m:00s,     97 MB
work, Entity: FCCC_C0_FCCC_C0_0_FCCC Architecture: def_arch, 0h:00m:00s,     97 MB
work, Entity: FCCC_C0 Architecture: rtl, 0h:00m:00s,     97 MB
smartfusion2, Entity: RAM1K18 Architecture: syn_black_box, 0h:00m:00s,     97 MB
work, Entity: FIFO_CDC_LSRAM Architecture: architecture_fifo_cdc_lsram, 0h:00m:00s,     97 MB
work, Entity: Gray_Code_Counter Architecture: architecture_gray_code_counter, 0h:00m:00s,     97 MB
work, Entity: FIFO_CDC Architecture: architecture_fifo_cdc, 0h:00m:00s,     98 MB
work, Entity: fifo_read_test Architecture: architecture_fifo_read_test, 0h:00m:00s,    101 MB
work, Entity: fifo_write_test Architecture: architecture_fifo_write_test, 0h:00m:00s,    101 MB
work, Entity: LED_inverter_dimmer Architecture: architecture_led_inverter_dimmer, 0h:00m:00s,    101 MB
work, Entity: RCOSC_25_50MHZ Architecture: def_arch, 0h:00m:00s,    101 MB
work, Entity: OSC_C0_OSC_C0_0_OSC Architecture: def_arch, 0h:00m:00s,    101 MB
work, Entity: OSC_C0 Architecture: rtl, 0h:00m:00s,    101 MB
work, Entity: FIFO_CDC_test Architecture: rtl, 0h:00m:00s,    101 MB
